epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,24005.4,0.56513,0.77448,1.05229,0.80596,0.75085,0.81816,0.71707,0.51087,0.80937,1.04039,0.002674,0.002674,0.002674
76,24325.1,0.55513,0.75002,1.04131,0.79319,0.76876,0.82182,0.72009,0.51237,0.80159,1.03869,0.002575,0.002575,0.002575
77,24637.9,0.55426,0.75512,1.0383,0.79911,0.75813,0.81865,0.71802,0.5118,0.80313,1.03875,0.002476,0.002476,0.002476
78,24952.9,0.56083,0.738,1.04458,0.78604,0.76851,0.81988,0.71844,0.51298,0.80336,1.0389,0.002377,0.002377,0.002377
79,25274.8,0.55062,0.72421,1.03733,0.80885,0.75911,0.82408,0.72409,0.50875,0.79029,1.03736,0.002278,0.002278,0.002278
80,25595.2,0.54921,0.72377,1.03794,0.78587,0.7741,0.82267,0.72201,0.51013,0.79654,1.03837,0.002179,0.002179,0.002179
81,25916.8,0.54129,0.71799,1.02974,0.79759,0.76847,0.82553,0.72423,0.50735,0.78781,1.03731,0.00208,0.00208,0.00208
82,26233.2,0.55017,0.72294,1.0411,0.79619,0.77077,0.8259,0.72664,0.50501,0.78448,1.03497,0.001981,0.001981,0.001981
83,26545.9,0.53943,0.69637,1.03231,0.80041,0.76714,0.82423,0.72433,0.50513,0.78825,1.03615,0.001882,0.001882,0.001882
84,26862,0.53968,0.69645,1.03144,0.79963,0.77145,0.82444,0.72333,0.50722,0.78934,1.03664,0.001783,0.001783,0.001783
85,27180.7,0.53217,0.68583,1.02842,0.80333,0.76971,0.8255,0.72554,0.50633,0.78578,1.03821,0.001684,0.001684,0.001684
86,27505.7,0.54153,0.68946,1.03396,0.81197,0.7625,0.82776,0.72872,0.50658,0.77585,1.03437,0.001585,0.001585,0.001585
87,27824.7,0.52702,0.66929,1.02616,0.82488,0.74908,0.82887,0.72986,0.50597,0.77902,1.03472,0.001486,0.001486,0.001486
88,28141.2,0.52006,0.6533,1.0203,0.79723,0.77624,0.82851,0.72933,0.50607,0.77809,1.03652,0.001387,0.001387,0.001387
89,28464,0.5283,0.66602,1.02261,0.80116,0.77302,0.83061,0.73118,0.5075,0.77066,1.03645,0.001288,0.001288,0.001288
90,28785.8,0.51698,0.65077,1.02065,0.80444,0.7755,0.83015,0.73012,0.50736,0.77338,1.03874,0.001189,0.001189,0.001189
91,29136.7,0.33382,0.25449,0.90395,0.79183,0.77465,0.8228,0.72179,0.50793,0.79294,1.03957,0.00109,0.00109,0.00109
92,29450,0.32698,0.2388,0.90035,0.80589,0.76218,0.82249,0.72141,0.50626,0.79643,1.0388,0.000991,0.000991,0.000991
93,29765.1,0.32151,0.23051,0.89436,0.80092,0.76917,0.82108,0.72256,0.50406,0.79603,1.03784,0.000892,0.000892,0.000892
94,30083.9,0.3124,0.22266,0.88826,0.7997,0.76873,0.82308,0.72491,0.5016,0.78896,1.03675,0.000793,0.000793,0.000793
95,30397.8,0.30868,0.21494,0.88475,0.79466,0.77379,0.82321,0.725,0.50144,0.78997,1.0366,0.000694,0.000694,0.000694
96,30714.2,0.30486,0.21396,0.88691,0.81405,0.75594,0.8255,0.72633,0.5024,0.78463,1.03781,0.000595,0.000595,0.000595
97,31033.2,0.30209,0.20767,0.88272,0.81303,0.75859,0.82593,0.72746,0.50296,0.78242,1.03767,0.000496,0.000496,0.000496
98,31356.9,0.29693,0.2019,0.87535,0.80729,0.76274,0.82525,0.72644,0.50387,0.78196,1.03816,0.000397,0.000397,0.000397
99,31678.1,0.29658,0.20392,0.87805,0.80216,0.76935,0.82614,0.72739,0.50396,0.7822,1.03892,0.000298,0.000298,0.000298
100,31989.2,0.29292,0.19772,0.87527,0.8097,0.7631,0.82649,0.72693,0.50502,0.78358,1.04102,0.000199,0.000199,0.000199
